"Image","Image"
"Backend Model","Backend Model"
"Multistore Images","Multistore Images"
"Upload image with transparent background","Upload image with transparent background"
"Static Stickers","Static Stickers"
"Dynamic Stickers","Dynamic Stickers"
"Manage Dynamic Stickers","Manage Dynamic Stickers"
"Associated Products","Associated Products"
"Auto Conditions","Auto Conditions"
"Auto Products","Auto Products"
"Edit Dynamic Sticker Item '%s'","Edit Dynamic Sticker Item '%s'"
